Account ID	Account Name	Row	Access	Project Year	Energy Source	Percent
36262	Comune di Genova	4	Public	2017	Nuclear	3
36262	Comune di Genova	5	Public	2017	Hydro	15
36262	Comune di Genova	6	Public	2017	Biomass	3
36262	Comune di Genova	7	Public	2017	Wind	7
36262	Comune di Genova	8	Public	2017	Geothermal	2
36262	Comune di Genova	9	Public	2017	Solar	10
36262	Comune di Genova	10	Public	2017	Unknown sources	4
36484	Comune di Monza	1	Public	2017	Coal	0
36484	Comune di Monza	2	Public	2017	Gas	70.08
36484	Comune di Monza	3	Public	2017	Oil	27.16
36484	Comune di Monza	4	Public	2017	Nuclear	
36484	Comune di Monza	5	Public	2017	Hydro	
36484	Comune di Monza	6	Public	2017	Biomass	
36484	Comune di Monza	7	Public	2017	Wind	
36484	Comune di Monza	8	Public	2017	Geothermal	
36484	Comune di Monza	9	Public	2017	Solar	
36484	Comune di Monza	10	Public	2017	Unknown sources	2.76
36252	Comune di Oristano	1	Public	2017	Coal	
36252	Comune di Oristano	2	Public	2017	Gas	1
36252	Comune di Oristano	3	Public	2017	Oil	6
36252	Comune di Oristano	4	Public	2017	Nuclear	0
36252	Comune di Oristano	5	Public	2017	Hydro	90
36252	Comune di Oristano	6	Public	2017	Biomass	
36252	Comune di Oristano	7	Public	2017	Wind	
36252	Comune di Oristano	8	Public	2017	Geothermal	
36252	Comune di Oristano	9	Public	2017	Solar	3
36252	Comune di Oristano	10	Public	2017	Unknown sources	
36518	Comune di Udine	1	Public	2017	Coal	0
36518	Comune di Udine	2	Public	2017	Gas	53
36518	Comune di Udine	3	Public	2017	Oil	17.7
36518	Comune di Udine	4	Public	2017	Nuclear	0
36518	Comune di Udine	5	Public	2017	Hydro	0.5
36518	Comune di Udine	6	Public	2017	Biomass	28
36518	Comune di Udine	7	Public	2017	Wind	0
36518	Comune di Udine	8	Public	2017	Geothermal	0.1
36518	Comune di Udine	9	Public	2017	Solar	0.7
36518	Comune di Udine	10	Public	2017	Unknown sources	
50671	Fafe	1	Public	2017	Coal	
50671	Fafe	2	Public	2017	Gas	
50671	Fafe	3	Public	2017	Oil	
50671	Fafe	4	Public	2017	Nuclear	
50671	Fafe	5	Public	2017	Hydro	97
50671	Fafe	6	Public	2017	Biomass	
50671	Fafe	7	Public	2017	Wind	
50671	Fafe	8	Public	2017	Geothermal	
50671	Fafe	9	Public	2017	Solar	3
50671	Fafe	10	Public	2017	Unknown sources	
50673	Faro	1	Public	2017	Coal	
50673	Faro	2	Public	2017	Gas	
50673	Faro	3	Public	2017	Oil	
50673	Faro	4	Public	2017	Nuclear	
50673	Faro	5	Public	2017	Hydro	
50673	Faro	6	Public	2017	Biomass	
50673	Faro	7	Public	2017	Wind	
50673	Faro	8	Public	2017	Geothermal	
50673	Faro	9	Public	2017	Solar	100
50673	Faro	10	Public	2017	Unknown sources	
35868	Free and Hanseatic City of Hamburg	1	Public	2017	Coal	43
35868	Free and Hanseatic City of Hamburg	2	Public	2017	Gas	9.7
35868	Free and Hanseatic City of Hamburg	3	Public	2017	Oil	0.9
35868	Free and Hanseatic City of Hamburg	4	Public	2017	Nuclear	15.5
35868	Free and Hanseatic City of Hamburg	5	Public	2017	Hydro	3.1
35868	Free and Hanseatic City of Hamburg	6	Public	2017	Biomass	7.7
35868	Free and Hanseatic City of Hamburg	7	Public	2017	Wind	9.1
35868	Free and Hanseatic City of Hamburg	8	Public	2017	Geothermal	4.3
35868	Free and Hanseatic City of Hamburg	9	Public	2017	Solar	5.7
35868	Free and Hanseatic City of Hamburg	10	Public	2017	Unknown sources	
54461	Gemeente Groningen	1	Public	2017	Coal	24
54461	Gemeente Groningen	2	Public	2017	Gas	61
54461	Gemeente Groningen	3	Public	2017	Oil	2
54461	Gemeente Groningen	4	Public	2017	Nuclear	4
54461	Gemeente Groningen	5	Public	2017	Hydro	
54461	Gemeente Groningen	6	Public	2017	Biomass	
